top_MultiplierP.MultiplierP.BoothType , top_MultiplierP.MultiplierP.Designware_MODE , top_MultiplierP.MultiplierP.ModifiedBooth , top_MultiplierP.MultiplierP.TreeType , top_MultiplierP.MultiplierP.UseMP , TOP_RP , TOP_VT , TOP_Voltage , COST_Avg_Dyn_Power_mW , COST_Avg_Leak_Power_mW , COST_Cell_Area_mmsq , COST_Clk_Period_nS , COST_Comb_Area_mmsq , COST_Core_Area_mmsq , COST_Mapped_Avg_Dyn_Energy_pJ , COST_Mapped_Avg_Dyn_Power_mW , COST_Mapped_Avg_Leak_Power_mW , COST_Mapped_Cell_Area_mmsq , COST_Mapped_Clk_Period_nS , COST_Mapped_Comb_Area_mmsq , COST_Mapped_Core_Area_mmsq , COST_Mapped_Net_Area_mmsq , COST_Mapped_NonComb_Area_mmsq , COST_Mapped__Area_mmsq , COST_Net_Area_mmsq , COST_NonComb_Area_mmsq , COST_Optimized_Avg_Dyn_Energy_pJ , COST_Optimized_Avg_Dyn_Power_mW , COST_Optimized_Avg_Leak_Power_mW , COST_Optimized_Cell_Area_mmsq , COST_Optimized_Clk_Period_nS , COST_Optimized_Comb_Area_mmsq , COST_Optimized_Core_Area_mmsq , COST_Optimized_Net_Area_mmsq , COST_Optimized_NonComb_Area_mmsq , COST_Routed_Avg_Dyn_Energy_pJ , COST_Routed_Avg_Dyn_Power_mW , COST_Routed_Avg_Leak_Power_mW , COST_Routed_Cell_Area_mmsq , COST_Routed_Clk_Period_nS , COST_Routed_Comb_Area_mmsq , COST_Routed_Core_Area_mmsq , COST_Routed_Net_Area_mmsq , COST_Routed_NonComb_Area_mmsq , COST_Routed__Area_mmsq , COST___Area_mmsq , PERF_Clk_Freq_Ghz , PERF_Mapped_Clk_Freq_Ghz , PERF_Optimized_Clk_Freq_Ghz , PERF_Routed_Clk_Freq_Ghz
1, OFF ,0, Wallace ,0, True , svt ,0.9,33.807,1.77,0.034309271,1.1782,0.034309271,0.034309271,26.7273,28.134,1.33,0.026609411,1.0329,0.026609411,0.026609411,0,0,0.026609411,0,0,32.11665,33.807,1.77,0.034309271,1.1782,0.034309271,0.034309271,0,0,,,,,,,,,,,,0.848752334,0.968147933,0.848752334,
1, OFF ,0, Wallace ,0, False , svt ,1,  ,  ,  ,  ,  ,  ,33.02105,34.759,1.79,0.026609411,0.7972,0.026609411,0.026609411,0,0,0.026609411,  ,  ,39.6796,41.768,2.4,0.034309271,0.9193,0.034309271,0.034309271,0,0,,,,,,,,,,,,  ,1.254390366,1.087784184,
1, OFF ,0, Wallace ,0, True , svt ,1,41.768,2.4,0.034309271,0.9193,0.034309271,0.034309271,33.02105,34.759,1.79,0.026609411,0.7972,0.026609411,0.026609411,0,0,0.026609411,0,0,39.6796,41.768,2.4,0.034309271,0.9193,0.034309271,0.034309271,0,0,,,,,,,,,,,,1.087784184,1.254390366,1.087784184,
1, OFF ,0, Wallace ,0, False , svt ,0.8,  ,  ,  ,  ,  ,  ,21.453,21.453,0.983,0.026333169,1.4815,0.026333169,0.026333169,0,0,0.026333169,  ,  ,26.847,26.847,1.39,0.03628795,1.6665,0.03628795,0.03628795,0,0,,,,,,,,,,,,  ,0.674991563,0.600060006,
1, OFF ,0, Wallace ,0, True , svt ,0.8,26.847,1.39,0.03628795,1.6665,0.03628795,0.03628795,21.453,21.453,0.983,0.026333169,1.4815,0.026333169,0.026333169,0,0,0.026333169,0,0,26.847,26.847,1.39,0.03628795,1.6665,0.03628795,0.03628795,0,0,,,,,,,,,,,,0.600060006,0.674991563,0.600060006,
1, OFF ,0, Wallace ,0, False , svt ,0.9,  ,  ,  ,  ,  ,  ,27.032,27.032,1.35,0.026333169,1.0332,0.026333169,0.026333169,0,0,0.026333169,  ,  ,33.823,33.823,1.92,0.03628795,1.1821,0.03628795,0.03628795,0,0,,,,,,,,,,,,  ,0.967866822,0.845952119,
1, OFF ,0, Wallace ,0, True , svt ,0.9,33.823,1.92,0.03628795,1.1821,0.03628795,0.03628795,27.032,27.032,1.35,0.026333169,1.0332,0.026333169,0.026333169,0,0,0.026333169,0,0,33.823,33.823,1.92,0.03628795,1.1821,0.03628795,0.03628795,0,0,,,,,,,,,,,,0.845952119,0.967866822,0.845952119,
1, OFF ,0, Wallace ,0, False , svt ,1,  ,  ,  ,  ,  ,  ,33.4,33.4,1.82,0.026333169,0.7962,0.026333169,0.026333169,0,0,0.026333169,  ,  ,41.786,41.786,2.6,0.03628795,0.9179,0.03628795,0.03628795,0,0,,,,,,,,,,,,  ,1.255965838,1.089443294,
1, OFF ,0, Wallace ,0, True , svt ,1,41.786,2.6,0.03628795,0.9179,0.03628795,0.03628795,33.4,33.4,1.82,0.026333169,0.7962,0.026333169,0.026333169,0,0,0.026333169,0,0,41.786,41.786,2.6,0.03628795,0.9179,0.03628795,0.03628795,0,0,,,,,,,,,,,,1.089443294,1.255965838,1.089443294,
1, OFF ,0, Wallace ,0, False , svt ,0.8,  ,  ,  ,  ,  ,  ,18.1302,16.482,0.79,0.020711124,1.5816,0.020711124,0.020711124,0,0,0.020711124,  ,  ,20.2961,18.451,0.966,0.025975606,1.6422,0.025975606,0.025975606,0,0,,,,,,,,,,,,  ,0.632271118,0.608939228,
